,distance_km,fare_per_km,day_of_week,year,hour,fare_amount
0,1.6833250775073447,4.452822142326202,3,2015,19,7.5
1,2.4575932783467835,3.131872224582694,4,2009,20,7.7
2,5.036384146783453,2.5608529395633055,0,2009,21,12.9
3,1.661685753650294,3.1876137678838425,4,2009,8,5.3
4,4.47545614478295,3.574255947675723,3,2014,17,16.0
5,0.0,4900.0,5,2011,2,4.9
6,11.731031087106315,2.0882999557447373,6,2014,7,24.5
8,2.3327142314177545,4.15646434743947,4,2012,9,9.7
9,4.889423641655177,2.5560157802135404,3,2012,19,12.5
10,2.2508607308770285,2.8865017764524254,4,2015,17,6.5
12,0.3022521108558365,10.882034722484725,1,2011,14,3.3
13,3.5812557740132496,3.0427754709956356,5,2011,11,10.9
14,1.3099517093917648,5.2633517699910985,1,2010,22,6.9
15,1.716279792276335,5.648468026949874,1,2012,9,9.7
16,0.7299665570466272,6.703453055086126,3,2011,9,4.9
17,2.515953547298386,4.171709887641888,5,2011,23,10.5
18,1.790321726187665,6.698964136129079,2,2015,8,12.0
19,1.0347050399795192,4.731076716684605,5,2009,0,4.9
20,2.4902472008677727,4.2147563663463625,1,2014,14,10.5
21,0.9594701844599927,5.20578366814287,1,2015,23,5.0
22,1.2613897673437817,3.2478083283476606,3,2009,2,4.1
23,1.7517650017211177,4.393058962518666,5,2010,16,7.7
24,6.1932445014761095,2.082578431788717,2,2010,22,12.9
25,2.736192584061414,3.470709388633522,3,2009,17,9.5
26,0.7232537124105735,6.903658088763156,1,2014,6,5.0
27,3.229443537425455,3.714660188601705,2,2012,17,12.0
28,1.4295172964395384,3.425334326397711,2,2009,20,4.9
29,2.233699311547041,3.2666587232921036,5,2011,2,7.3
30,13.053330169234309,1.9686954188249564,5,2011,9,25.7
31,1.8950491608266506,4.061076136149818,5,2009,15,7.7
32,1.9049353402365328,5.509106095224047,0,2013,19,10.5
33,3.1821178242889583,3.455731332363473,1,2013,20,11.0
34,11.356156384041455,3.477983278939749,2,2014,6,39.5
35,2.9230236888626995,2.770155396090686,4,2009,5,8.1
36,1.200213842045202,4.745200063874646,5,2011,16,5.7
37,2.635790807404098,2.616817375358268,2,2011,19,6.9
38,2.253613903554444,3.415218893071136,1,2010,21,7.7
39,9.961510215975014,2.91091294978028,3,2014,17,29.0
40,4.826533532872274,3.2521783418164785,3,2010,14,15.7
41,1.2502926870845612,7.192561814589898,2,2014,14,9.0
42,0.7984742276755328,6.129028091683112,1,2011,15,4.9
43,0.840396152683202,6.41790431627179,5,2009,22,5.4
44,0.38519924001701444,8.54481225766942,3,2012,0,3.3
45,2.434346176233359,3.6545112505382016,3,2009,8,8.9
46,3.127909533264099,5.433202788150123,3,2014,14,17.0
47,3.7346507724526368,3.212291707910752,6,2015,9,12.0
48,0.0,56799.99999999999,3,2013,22,56.8
49,4.504360509008704,2.9964305793079253,3,2013,10,13.5
50,1.5579008497303448,4.939377639913359,5,2009,18,7.7
51,4.923160610490316,2.7009679521147203,0,2011,13,13.3
52,7.683158068167262,1.9390543333205765,4,2012,3,14.9
53,1.8223765506663006,4.113248027270802,6,2012,2,7.5
54,4.523573083259081,3.735159028048412,3,2009,11,16.9
55,4.071896214031055,2.700780825719348,3,2014,20,11.0
56,1.1746737081325782,5.528744884772919,4,2010,22,6.5
57,1.2923819784535335,5.0255841725674095,4,2009,14,6.5
58,1.21232151965934,4.368174399056288,4,2009,1,5.3
59,0.8729716749950138,4.691227550393314,0,2009,16,4.1
60,2.1074756058990856,4.268486661557683,2,2015,17,9.0
61,5.901643616945056,2.9308901439239703,6,2011,11,17.3
62,0.6855640840334924,9.46743377808693,2,2011,6,6.5
63,5.634300221883286,3.5490566984053444,5,2013,20,20.0
64,0.7550126930090186,17.195478488937116,4,2014,14,13.0
66,1.0321749030315608,5.323396826482911,2,2013,19,5.5
67,5.847123145760689,2.6504229842075,5,2012,15,15.5
68,3.0962647003859574,2.744356980189906,0,2015,11,8.5
69,2.068044688771067,3.624861290190263,4,2013,20,7.5
70,1.5086978898301036,4.5704508474715455,2,2009,10,6.9
71,3.310688313214333,6.34117646766623,6,2015,14,21.0
72,0.5099461974827887,8.024328236904257,3,2012,20,4.1
73,1.9072963928940811,2.9869573831534124,5,2011,1,5.7
74,6.152304270973421,3.1365261898461005,2,2009,9,19.3
75,6.100540899228414,2.835349346291806,5,2010,4,17.3
76,1.9571596722303939,6.128203011316076,1,2014,9,12.0
77,4.580228282398262,2.46658740919247,3,2012,20,11.3
78,4.247622321534987,2.2830930277877655,6,2010,20,9.7
79,0.9043278463938618,5.412403936891898,2,2012,19,4.9
80,2.499149034842446,4.3997377143131775,3,2015,13,11.0
81,0.41957484389859023,8.32194328970357,3,2015,1,3.5
82,15.902258366362949,1.6411731104868563,6,2012,1,26.1
83,4.741483270405726,1.7079659617454028,5,2010,21,8.1
84,0.0,49570.0,4,2009,10,49.57
85,2.944307722325589,2.6143278482019356,2,2010,10,7.7
86,1.2980360742853914,4.079948282356644,3,2012,18,5.3
87,6.903605106108037,0.6517389381210453,2,2010,12,4.5
88,1.80509590056403,4.04186732150838,5,2010,3,7.3
89,1.3540037466619592,4.797034706370885,4,2013,18,6.5
90,1.3985793924855354,3.7868519845720545,6,2012,18,5.3
91,1.0855348055513168,8.559320835820905,4,2010,12,9.3
93,1.2560044656304787,2.943505851543799,1,2009,11,3.7
94,1.2322854358550752,3.2433692020587883,6,2014,13,4.0
95,2.177184869699798,4.361429616077221,5,2015,8,9.5
96,0.5913097887913589,7.597375706355455,0,2011,20,4.5
97,0.7059208750601758,4.6681320589367115,0,2010,3,3.3
98,11.095126148860693,2.784755651247953,4,2011,9,30.9
99,5.5182615502859935,4.873840414141292,6,2009,14,26.9
100,2.0175432998561025,4.458660857382445,2,2014,18,9.0
101,0.5730744516191166,7.141930786915148,6,2011,21,4.1
102,0.49252656363865255,30.190877447701876,4,2011,11,14.9
103,2.800572945460828,2.3201252034259707,4,2009,9,6.5
104,11.877760859906285,3.619906192836619,4,2015,18,43.0
105,2.151452815480442,3.7166900674727894,1,2012,22,8.0
106,0.9853760531912669,6.082872734580214,1,2015,1,6.0
107,1.705646050191744,2.3437783127618026,4,2013,18,4.0
108,0.6325957503446071,5.839685632341446,1,2010,21,3.7
109,2.5205599224510924,4.005457062540182,2,2012,17,10.1
110,5.5555911761089485,3.2393961386600796,4,2015,22,18.0
111,1.2902717916405408,4.414252705666433,2,2009,18,5.7
112,2.2039006742188842,2.9479785987650953,6,2012,15,6.5
113,16.056289689784453,2.1983784737008034,4,2009,21,35.3
114,1.3620086545357155,4.475393446476579,3,2012,17,6.1
115,0.8339963144694047,5.868289374562913,6,2011,18,4.9
116,2.339481564210149,2.606301238719045,4,2011,22,6.1
117,1.7643888489494255,5.6644744334660055,0,2013,15,10.0
118,3.2125588562896175,3.2674055368394046,6,2014,15,10.5
119,1.9504898596578084,4.560618112338338,2,2012,18,8.9
121,2.3992175140695715,5.416175793983974,3,2013,14,13.0
122,1.4694773253693545,4.692353891459604,2,2012,0,6.9
123,1.9741348182430898,4.911057164507022,0,2009,9,9.7
124,3.740438452483117,2.6994964980105003,5,2009,1,10.1
125,2.176311362468996,4.4550357689772655,2,2011,17,9.7
126,1.2195234142647462,4.342399283829197,1,2010,12,5.3
127,1.1528728732020785,4.939885608179781,3,2010,6,5.7
128,2.1235004521220673,3.5302416586960903,0,2014,5,7.5
129,3.5739610800397585,2.9370949123404793,4,2010,16,10.5
130,1.5679009708942961,3.888072040979688,2,2010,18,6.1
131,1.0121554184708625,6.415600095995474,5,2015,22,6.5
132,3.513305615404955,2.1910445028591305,6,2009,13,7.7
134,1.7841984734351823,3.416987013361056,2,2010,0,6.1
135,3.6706958728660117,2.423948036048241,1,2009,0,8.9
136,3.7726640147517996,2.384950002124645,6,2013,1,9.0
137,5.060744411441399,2.96340525730507,1,2014,0,15.0
138,2.7231858480669056,5.50623226041794,2,2015,21,15.0
139,4.715419442881193,2.7351256935959825,3,2009,14,12.9
140,2.1793115241552314,3.4398754108800573,0,2014,20,7.5
141,1.70866368385628,5.556648415536328,0,2015,19,9.5
142,1.19476321862848,4.432315626900625,1,2011,12,5.3
143,1.6390222354302528,4.87798264387631,1,2015,15,8.0
144,3.0685608081368967,3.6813084041357236,1,2009,11,11.3
145,9.923568648564544,3.883292197850261,1,2015,9,38.54
146,1.37341302240955,4.438258296844274,4,2009,10,6.1
147,3.481380394599612,5.168878169631884,4,2015,23,18.0
148,1.0186481929664464,5.884382516821116,5,2015,11,6.0
149,3.6116963717578914,3.460019529379288,4,2013,15,12.5
150,7.2130170185656395,2.287213900041601,1,2010,0,16.5
151,0.919827160362576,5.972890719073027,2,2013,14,5.5
152,3.5885450229857203,3.816639688949933,2,2011,10,13.7
153,3.4468771664826057,2.581298454167219,0,2010,18,8.9
154,0.6774823849168342,5.895510464122521,1,2015,5,4.0
155,1.166554730338164,4.196805402502024,0,2010,17,4.9
156,0.8456297568751322,5.787653883186971,1,2010,14,4.9
157,1.481729691783599,5.732669985029582,2,2012,13,8.5
158,0.5808106243688994,6.359457605322105,0,2011,10,3.7
159,1.4819618793333265,4.38312008594726,1,2014,9,6.5
160,0.9054249595313008,5.405852904286439,1,2009,20,4.9
161,2.6227549008377546,3.5445384006831384,3,2012,16,9.3
162,9.360781463495947,3.0977010212296285,1,2012,13,29.0
163,1.5240431957846732,4.262174355432331,4,2010,19,6.5
164,1.8947043339560112,4.325569052684497,0,2009,20,8.2
165,3.0793847352288597,3.570982505593655,3,2013,20,11.0
166,0.0,4500.0,2,2014,21,4.5
167,1.066524360439298,4.2153604795943025,5,2013,7,4.5
168,3.907631850108434,2.3025959837456473,5,2014,2,9.0
169,0.21523498875516978,67.05667793854353,2,2010,17,14.5
170,1.3238717252730092,3.7739502659924886,0,2013,20,5.0
171,1.4225749614603436,5.127935091322099,1,2012,8,7.3
172,2.31597774099886,4.100168867355846,3,2015,2,9.5
173,1.6598673834539075,4.515712738245932,2,2015,1,7.5
174,2.3359208961641458,3.294933950327068,5,2010,0,7.7
175,3.6193655097463826,2.6792874846163013,1,2009,21,9.7
176,2.9547192169738765,5.074906951194537,4,2015,19,15.0
177,1.0581972284125865,7.552889854129963,3,2013,22,8.0
178,5.259926514450871,2.6041040418200914,2,2010,19,13.7
179,0.9517585737436477,6.29750302474253,5,2015,12,6.0
180,2.622033614711671,2.935532338134523,4,2011,21,7.7
181,3.6544207914251037,2.872446319895901,2,2011,20,10.5
182,5.744520049956267,3.8290702684376594,2,2013,18,22.0
183,1.4099935576123503,5.31540343294786,1,2014,20,7.5
184,2.3731618371467786,4.8438146970724105,2,2015,19,11.5
185,0.7459983249024945,6.024109894205431,4,2012,20,4.5
186,2.037028759274383,3.9744287037852755,3,2011,20,8.1
187,4.447412149306085,3.259590054456145,2,2012,10,14.5
188,6.266021875809639,2.872177623869323,5,2012,23,18.0
189,6.102571795022024,1.3270917869117604,4,2010,1,8.1
190,1.136059938462684,3.9575750123463536,1,2011,13,4.5
191,0.4445695655507225,7.406250909263092,5,2011,20,3.3
192,8.305590458344271,2.37161084307589,6,2012,13,19.7
193,2.9969312113645437,2.7018631946238654,5,2012,2,8.1
194,1.6880697796691957,3.848272036027443,4,2010,12,6.5
195,3.4192543921764096,4.2394507359358204,2,2014,1,14.5
196,13.94870159920448,1.7204669095838343,1,2009,10,24.0
197,3.239160591551795,3.240580120435106,1,2012,20,10.5
198,1.3160927544902608,6.757306931996954,3,2009,16,8.9
199,6.3239664101151,2.2292608506901797,6,2011,0,14.1
200,1.403449368792598,4.343339201500839,3,2012,7,6.1
201,1.824875242257348,3.9980825803711193,4,2011,10,7.3
202,8.69765646872847,2.6440864842386445,2,2012,21,23.0
203,1.1540979512543523,4.588355467382299,0,2009,21,5.3
204,20.07108980263479,2.2419190249982344,5,2010,7,45.0
205,9.509780988930771,2.1133911109291246,2,2011,4,20.1
206,1.8044575499927282,3.157094444022214,4,2011,1,5.7
